"","distance","time"
"1",24.3,22
"2",34.7,23
"3",19.1,28
"4",3.4,6
"5",22.7,22
"6",6.8,14
"7",1.1,7
"8",1.6,10
"9",7.7,11
"10",5.2,6
"11",7.2,18
"12",4,6
"13",36.2,29
"14",12.2,18
"15",1.6,5
"16",18.4,15
"17",1.2,9
"18",4.9,8
"19",11.2,11
"20",14.9,15
"21",2.6,9
"22",15.8,15
"23",6,2
"24",6.2,9
"25",7,8
"26",6.5,9
"27",10.6,16
"28",2.6,9
"29",9.7,13
"30",7.1,11
"31",4.2,4
"32",12.3,11
"33",6.1,8
"34",5.6,8
"35",13.1,12
"36",5.1,4
"37",2.6,7
"38",42.9,48
"39",7.4,12
"40",2.1,5
"41",10.3,13
"42",1.8,1
"43",21,22
"44",16.7,19
"45",4.9,6
"46",2.9,8
"47",7.6,6
"48",20.1,27
"49",6.6,12
"50",10.7,12
"51",7.9,13
"52",3.3,8
"53",9.5,15
"54",35.3,33
"55",3.6,8
"56",32.3,30
"57",17.6,27
"58",1.4,9
"59",3.5,6
"60",26.8,30
"61",15.5,14
"62",12,14
"63",22.7,20
"64",25.6,27
"65",8.9,10
"66",12.4,20
"67",9.3,13
"68",2.8,4
"69",1,5
"70",20.5,24
"71",27.1,15
"72",54.9,40
"73",2.8,6
"74",1.8,8
"75",3.4,7
"76",2,7
"77",2.3,8
"78",7.8,15
"79",7.4,7
"80",8.8,11
"81",4.2,5
"82",5.6,9
"83",12.1,20
"84",8.2,13
"85",23.3,27
"86",2,8
"87",18.4,20
"88",5.5,3
"89",5.3,7
"90",5.8,6
"91",6.9,4
"92",2,5
"93",3.2,11
"94",3.4,4
"95",5.1,13
"96",8.5,12
"97",22.9,17
"98",9.2,12
"99",11.4,10
"100",6.5,6
"101",9.6,12
"102",4.4,5
"103",8.5,13
"104",2.3,5
"105",13.3,9
"106",21,19
"107",2.7,5
"108",19.7,26
"109",3.9,11
"110",11.3,11
"111",1.1,6
"112",5.6,9
"113",10,12
"114",1.1,4
"115",5.1,7
"116",2.8,10
"117",2.4,8
"118",7.6,12
"119",4.7,10
"120",9.7,14
"121",5,6
"122",4,8
"123",20.2,23
"124",2.2,7
"125",12.2,16
"126",28,25
"127",17.1,21
"128",3.2,6
"129",10.2,17
"130",11.6,15
"131",6.5,9
"132",5.9,7
"133",6.2,8
"134",46.2,31
"135",15.1,16
"136",11.2,14
"137",9.8,17
"138",23.7,22
"139",3.9,12
"140",11.2,15
"141",2.5,12
"142",10.5,13
"143",11.7,15
"144",1.2,4
"145",11.1,16
"146",5.8,10
"147",16,16
"148",6,13
"149",38.3,36
"150",12.2,17
"151",14,16
"152",16.2,17
"153",35.6,29
"154",1.4,6
"155",13.4,13
"156",20.7,14
"157",37,31
"158",9,15
"159",24.1,27
"160",47.3,39
"161",48.8,55
"162",9.2,6
"163",2.9,5
"164",1.9,12
"165",13.2,16
"166",1.7,7
"167",15.2,19
"168",20.7,28
"169",5.8,8
"170",6.4,7
"171",13.8,11
"172",2.7,8
"173",15.8,17
"174",7.6,10
"175",20.6,23
"176",72.8,57
"177",4.9,7
"178",5.3,6
"179",13.3,14
"180",1.9,7
"181",16.4,14
"182",2.9,10
"183",7.7,9
"184",6.4,9
"185",7.5,12
"186",12.7,15
"187",20.8,22
"188",10.8,14
"189",10.4,11
"190",1.6,6
"191",9.2,14
"192",3.7,11
"193",42.6,44
"194",16.2,12
"195",24.7,20
"196",5.1,11
"197",2.6,9
"198",3,7
"199",5.7,10
"200",5.1,10
